Microsoft Windows [Version 10.0.19045.4412]
(c) Microsoft Corporation. All rights reserved.

C:\Users\Saeid\Downloads\AccessMeasurements\x64\Debug>AccessMeasurements.exe
Press enter to continue...
Sample 0, took 28 cycles
Sample 120, took 20 cycles
Sample 121, took 18 cycles
Sample 122, took 20 cycles
Sample 123, took 18 cycles
Sample 124, took 20 cycles
Sample 125, took 18 cycles
Sample 126, took 19 cycles
Sample 127, took 36 cycles
Sample 128, took 20 cycles
Sample 129, took 20 cycles
Sample 130, took 19 cycles
Sample 131, took 18 cycles
Sample 132, took 16 cycles
Sample 133, took 18 cycles
Sample 134, took 18 cycles
Sample 135, took 20 cycles
Sample 136, took 19 cycles
Sample 137, took 18 cycles
Sample 138, took 18 cycles
Sample 139, took 20 cycles
Sample 140, took 20 cycles
Sample 141, took 16 cycles
Sample 142, took 19 cycles
Sample 143, took 20 cycles
Sample 144, took 18 cycles
Sample 145, took 17 cycles
Sample 146, took 20 cycles
Sample 147, took 18 cycles
Sample 148, took 32 cycles
Sample 149, took 18 cycles
Sample 150, took 18 cycles
Sample 151, took 20 cycles
Sample 152, took 20 cycles
Sample 153, took 16 cycles
Sample 154, took 18 cycles
Sample 155, took 19 cycles
Sample 156, took 19 cycles
Sample 157, took 66 cycles
Sample 158, took 18 cycles
Sample 159, took 20 cycles
Sample 160, took 18 cycles
Sample 161, took 20 cycles
Sample 162, took 18 cycles
Sample 163, took 18 cycles
Sample 164, took 16 cycles
Sample 165, took 21 cycles
Sample 166, took 20 cycles
Sample 167, took 20 cycles
Sample 168, took 18 cycles
Sample 169, took 20 cycles
Sample 170, took 18 cycles
Sample 171, took 18 cycles
Sample 172, took 16 cycles
Sample 173, took 18 cycles
Sample 174, took 19 cycles
Sample 175, took 18 cycles
Sample 176, took 18 cycles
Sample 177, took 19 cycles
Sample 178, took 19 cycles
Sample 179, took 19 cycles
Sample 180, took 18 cycles
Sample 181, took 21 cycles
Sample 182, took 17 cycles
Sample 183, took 18 cycles
Sample 184, took 18 cycles
Sample 185, took 18 cycles
Sample 186, took 18 cycles
Sample 187, took 36 cycles
Sample 188, took 19 cycles
Sample 189, took 18 cycles
Sample 190, took 18 cycles
Sample 191, took 18 cycles
Sample 192, took 18 cycles
Sample 193, took 18 cycles
Sample 194, took 17 cycles
Sample 195, took 18 cycles
Sample 196, took 18 cycles
