C:\Users\Saeid\Downloads\AccessMeasurements\x64\Debug>AccessMeasurements.exe
Press enter to continue...
Sample 0, took 26389 cycles
Sample 376, took 9235 cycles
Sample 377, took 9278 cycles
Sample 378, took 8973 cycles
Sample 379, took 8963 cycles
Sample 380, took 8913 cycles
Sample 381, took 9024 cycles
Sample 382, took 9014 cycles
Sample 383, took 8999 cycles
Sample 384, took 9012 cycles
Sample 385, took 9284 cycles
Sample 386, took 8857 cycles
Sample 387, took 9020 cycles
Sample 388, took 14583 cycles
Sample 389, took 9456 cycles
Sample 390, took 9252 cycles
Sample 391, took 57447 cycles
Sample 392, took 10264 cycles
Sample 393, took 9829 cycles
Sample 394, took 9485 cycles
Sample 395, took 9963 cycles
Sample 396, took 9336 cycles
Sample 397, took 9292 cycles
Sample 398, took 9272 cycles
Sample 399, took 9564 cycles
Sample 400, took 9193 cycles
Sample 401, took 9242 cycles
Sample 402, took 9274 cycles
Sample 403, took 9165 cycles
Sample 404, took 9264 cycles
Sample 405, took 9266 cycles
Sample 406, took 9244 cycles
Sample 407, took 9615 cycles
Sample 408, took 9254 cycles
Sample 409, took 9217 cycles
Sample 410, took 9225 cycles
Sample 411, took 9252 cycles
Sample 412, took 11981 cycles
Sample 413, took 10963 cycles
Sample 414, took 9328 cycles
Sample 415, took 9336 cycles
Sample 416, took 9256 cycles
Sample 417, took 10130 cycles
Sample 418, took 9245 cycles
Sample 419, took 9353 cycles
Sample 420, took 9621 cycles
Sample 421, took 9240 cycles
Sample 422, took 9280 cycles
Sample 423, took 9242 cycles
Sample 424, took 9262 cycles
Sample 425, took 9212 cycles
Sample 426, took 9218 cycles
Sample 427, took 9225 cycles
Sample 428, took 9667 cycles
Sample 429, took 9279 cycles
Sample 430, took 9230 cycles
Sample 431, took 9243 cycles
Sample 432, took 8959 cycles
Sample 433, took 9010 cycles
Sample 434, took 9399 cycles
Sample 435, took 11427 cycles
Sample 436, took 9321 cycles
Sample 437, took 9236 cycles
Sample 438, took 9109 cycles
Sample 439, took 9185 cycles
Sample 440, took 9236 cycles
Sample 441, took 9532 cycles
Sample 442, took 9268 cycles
Sample 443, took 9261 cycles
Sample 444, took 9207 cycles
Sample 445, took 9239 cycles
Sample 446, took 9134 cycles
Sample 447, took 9105 cycles
Sample 448, took 9252 cycles
Sample 449, took 9552 cycles
Sample 450, took 9236 cycles
Sample 451, took 9218 cycles
Sample 452, took 9232 cycles
Sample 453, took 9174 cycles
Sample 454, took 9146 cycles
Sample 455, took 9270 cycles
Sample 456, took 9389 cycles
Sample 457, took 5557 cycles
Sample 458, took 14069 cycles
Sample 459, took 9721 cycles
Sample 460, took 6181 cycles
Sample 461, took 5093 cycles
Sample 462, took 4983 cycles
Sample 463, took 5845 cycles
Sample 464, took 6646 cycles
Sample 465, took 5436 cycles
Sample 466, took 9480 cycles
Sample 467, took 9268 cycles
Sample 468, took 6264 cycles
Sample 469, took 4930 cycles
Sample 470, took 9282 cycles
Sample 471, took 9189 cycles
Sample 472, took 9224 cycles
Sample 473, took 9616 cycles
Sample 474, took 9275 cycles
Sample 475, took 9265 cycles
Sample 476, took 9276 cycles
Sample 477, took 12628 cycles
Sample 478, took 9633 cycles
Sample 479, took 5507 cycles
Sample 480, took 7863 cycles
Sample 481, took 7643 cycles
Sample 482, took 5994 cycles
Sample 483, took 16040 cycles
Sample 484, took 7202 cycles
Sample 485, took 5047 cycles
Sample 486, took 5722 cycles
Sample 487, took 5751 cycles
Sample 488, took 5595 cycles
Sample 489, took 6268 cycles
Sample 490, took 6259 cycles
Sample 491, took 6504 cycles
Sample 492, took 5381 cycles
Sample 493, took 5630 cycles
Sample 494, took 5577 cycles
Sample 495, took 5111 cycles
Sample 496, took 9983 cycles
Sample 497, took 9966 cycles
Sample 498, took 9288 cycles
Sample 499, took 9226 cycles
Sample 500, took 9479 cycles
Sample 501, took 9629 cycles
Sample 502, took 6194 cycles
Sample 503, took 9425 cycles
Sample 504, took 9325 cycles
Sample 505, took 9187 cycles
Sample 506, took 9248 cycles
Sample 507, took 9588 cycles
Sample 508, took 11422 cycles
Sample 509, took 9300 cycles
Sample 510, took 9167 cycles
Sample 511, took 9244 cycles
Sample 512, took 9252 cycles
Sample 513, took 9278 cycles
Sample 514, took 9267 cycles
Sample 515, took 9590 cycles
Sample 516, took 9223 cycles
Sample 517, took 9294 cycles
Sample 518, took 9221 cycles
Sample 519, took 9233 cycles
Sample 520, took 9288 cycles
Sample 521, took 9131 cycles
Sample 522, took 9558 cycles
