C:\Users\sina\Desktop\AccessMeasurements\x64\Debug>AccessMeasurements.exe
Press enter to continue...
Sample 0, took 26069 cycles
Sample 180, took 5635 cycles
Sample 181, took 5604 cycles
Sample 182, took 5726 cycles
Sample 183, took 5675 cycles
Sample 184, took 5635 cycles
Sample 185, took 5602 cycles
Sample 186, took 5614 cycles
Sample 187, took 5578 cycles
Sample 188, took 5683 cycles
Sample 189, took 5590 cycles
Sample 190, took 5630 cycles
Sample 191, took 5610 cycles
Sample 192, took 5610 cycles
Sample 193, took 5629 cycles
Sample 194, took 5604 cycles
Sample 195, took 5610 cycles
Sample 196, took 5604 cycles
Sample 197, took 5700 cycles
Sample 198, took 5643 cycles
Sample 199, took 5722 cycles
Sample 200, took 5639 cycles
Sample 201, took 5615 cycles
Sample 202, took 5620 cycles
Sample 203, took 5600 cycles
Sample 204, took 5611 cycles
Sample 205, took 5613 cycles
Sample 206, took 5598 cycles
Sample 207, took 5602 cycles
Sample 208, took 5608 cycles
Sample 209, took 5641 cycles
Sample 210, took 5602 cycles
Sample 211, took 5598 cycles
Sample 212, took 5631 cycles
Sample 213, took 5627 cycles
Sample 214, took 5596 cycles
Sample 215, took 5624 cycles
Sample 216, took 5724 cycles
Sample 217, took 8506 cycles
Sample 218, took 7572 cycles
Sample 219, took 6896 cycles
Sample 220, took 6760 cycles
Sample 221, took 6506 cycles
Sample 222, took 6031 cycles
Sample 223, took 6076 cycles
Sample 224, took 5742 cycles
Sample 225, took 5785 cycles
Sample 226, took 5743 cycles
Sample 227, took 5823 cycles
Sample 228, took 5722 cycles
Sample 229, took 5694 cycles
Sample 230, took 5698 cycles
Sample 231, took 6268 cycles
Sample 232, took 5691 cycles
Sample 233, took 5692 cycles
Sample 234, took 5821 cycles
Sample 235, took 5801 cycles
Sample 236, took 5751 cycles
Sample 237, took 5602 cycles
Sample 238, took 5702 cycles
Sample 239, took 5739 cycles
Sample 240, took 5868 cycles
Sample 241, took 5779 cycles
Sample 242, took 5710 cycles
Sample 243, took 5602 cycles
Sample 244, took 5663 cycles
Sample 245, took 5720 cycles
Sample 246, took 5805 cycles
Sample 247, took 5726 cycles
Sample 248, took 5816 cycles
Sample 249, took 5834 cycles
Sample 250, took 5616 cycles
Sample 251, took 5712 cycles
Sample 252, took 5736 cycles
Sample 253, took 5728 cycles
Sample 254, took 5701 cycles
Sample 255, took 5700 cycles
Sample 256, took 5627 cycles
Sample 257, took 5814 cycles
Sample 258, took 5720 cycles
Sample 259, took 5748 cycles
Sample 260, took 5761 cycles
Sample 261, took 5720 cycles
Sample 262, took 5767 cycles
Sample 263, took 5836 cycles
Sample 264, took 5652 cycles
Sample 265, took 5820 cycles
Sample 266, took 5720 cycles
Sample 267, took 5775 cycles
Sample 268, took 5770 cycles
Sample 269, took 5740 cycles
Sample 270, took 5801 cycles
Sample 271, took 5827 cycles
Sample 272, took 5604 cycles
Sample 273, took 5663 cycles
Sample 274, took 5806 cycles
Sample 275, took 5702 cycles
Sample 276, took 5761 cycles
Sample 277, took 4234 cycles
Sample 278, took 4383 cycles
Sample 279, took 4322 cycles
Sample 280, took 4376 cycles
Sample 281, took 4339 cycles
Sample 282, took 4327 cycles
