C:\Users\sina\Desktop\AccessMeasurements\x64\Debug>AccessMeasurements.exe
Press enter to continue...
Sample 322, took 49 cycles
Sample 323, took 48 cycles
Sample 324, took 49 cycles
Sample 325, took 49 cycles
Sample 326, took 48 cycles
Sample 327, took 47 cycles
Sample 328, took 51 cycles
Sample 329, took 49 cycles
Sample 330, took 51 cycles
Sample 331, took 50 cycles
Sample 332, took 53 cycles
Sample 333, took 48 cycles
Sample 334, took 47 cycles
Sample 335, took 45 cycles
Sample 336, took 49 cycles
Sample 337, took 48 cycles
Sample 338, took 49 cycles
Sample 339, took 49 cycles
Sample 340, took 48 cycles
Sample 341, took 46 cycles
Sample 342, took 47 cycles
Sample 343, took 45 cycles
Sample 344, took 49 cycles
Sample 345, took 48 cycles
Sample 346, took 51 cycles
Sample 347, took 48 cycles
Sample 348, took 48 cycles
Sample 349, took 49 cycles
Sample 350, took 43 cycles
Sample 351, took 49 cycles
Sample 352, took 47 cycles
Sample 353, took 49 cycles
Sample 354, took 49 cycles
Sample 355, took 51 cycles
Sample 356, took 47 cycles
Sample 357, took 51 cycles
Sample 358, took 46 cycles
Sample 359, took 50 cycles
Sample 360, took 51 cycles
Sample 361, took 51 cycles
Sample 362, took 47 cycles
Sample 363, took 49 cycles
Sample 364, took 21 cycles
Sample 365, took 27 cycles
Sample 366, took 211 cycles
Sample 367, took 50 cycles
Sample 368, took 49 cycles
Sample 369, took 47 cycles
Sample 370, took 49 cycles
Sample 371, took 47 cycles
Sample 372, took 52 cycles
Sample 373, took 51 cycles
Sample 374, took 51 cycles
Sample 375, took 49 cycles
Sample 376, took 51 cycles
Sample 377, took 51 cycles
Sample 378, took 51 cycles
Sample 379, took 45 cycles
Sample 380, took 47 cycles
Sample 381, took 51 cycles
Sample 382, took 47 cycles
Sample 383, took 47 cycles
Sample 384, took 53 cycles
Sample 385, took 45 cycles
Sample 386, took 51 cycles
Sample 387, took 51 cycles
Sample 388, took 48 cycles
Sample 389, took 47 cycles
Sample 390, took 51 cycles
Sample 391, took 47 cycles
Sample 392, took 53 cycles
Sample 393, took 51 cycles
Sample 394, took 48 cycles
Sample 395, took 46 cycles
Sample 396, took 48 cycles
Sample 397, took 50 cycles
Sample 398, took 53 cycles
Sample 399, took 47 cycles
Sample 400, took 51 cycles
Sample 401, took 40 cycles
Sample 402, took 44 cycles
Sample 403, took 41 cycles
Sample 404, took 43 cycles
Sample 405, took 43 cycles
Sample 406, took 43 cycles
Sample 407, took 41 cycles
Sample 408, took 41 cycles
Sample 409, took 42 cycles
Sample 410, took 44 cycles
Sample 411, took 45 cycles
Sample 412, took 45 cycles
Sample 413, took 41 cycles
Sample 414, took 43 cycles
Sample 415, took 42 cycles
Sample 416, took 43 cycles
Sample 417, took 41 cycles
Sample 418, took 43 cycles
Sample 419, took 41 cycles
Sample 420, took 43 cycles
Sample 421, took 44 cycles
Sample 422, took 45 cycles
Sample 423, took 43 cycles
Sample 424, took 42 cycles
Sample 425, took 45 cycles
Sample 426, took 44 cycles
Sample 427, took 41 cycles
Sample 428, took 45 cycles
Sample 429, took 26 cycles
Sample 430, took 43 cycles
Sample 431, took 41 cycles
Sample 432, took 43 cycles
Sample 433, took 43 cycles
Sample 434, took 43 cycles
Sample 435, took 43 cycles
Sample 436, took 41 cycles
Sample 437, took 42 cycles
Sample 438, took 43 cycles
Sample 439, took 45 cycles
Sample 440, took 43 cycles
Sample 441, took 43 cycles
Sample 442, took 43 cycles
Sample 443, took 43 cycles
Sample 444, took 43 cycles
Sample 445, took 45 cycles
Sample 446, took 43 cycles
Sample 447, took 43 cycles
Sample 448, took 44 cycles
Sample 449, took 43 cycles
Sample 450, took 43 cycles
Sample 451, took 41 cycles
Sample 452, took 44 cycles
Sample 453, took 43 cycles
Sample 454, took 44 cycles
Sample 455, took 44 cycles
Sample 456, took 41 cycles
Sample 457, took 43 cycles
Sample 458, took 43 cycles
Sample 459, took 39 cycles
Sample 460, took 43 cycles
Sample 461, took 43 cycles
Sample 462, took 45 cycles
Sample 463, took 43 cycles
Sample 464, took 44 cycles
Sample 465, took 42 cycles
Sample 466, took 43 cycles
Sample 467, took 43 cycles
Sample 468, took 43 cycles
Sample 469, took 44 cycles
Sample 470, took 43 cycles
Sample 471, took 41 cycles
Sample 472, took 44 cycles
Sample 473, took 39 cycles
Sample 474, took 42 cycles
Sample 475, took 42 cycles
Sample 476, took 44 cycles
Sample 477, took 41 cycles
Sample 478, took 43 cycles
Sample 479, took 42 cycles
Sample 480, took 44 cycles
Sample 481, took 43 cycles
Sample 482, took 44 cycles
Sample 483, took 43 cycles
Sample 484, took 44 cycles
Sample 485, took 43 cycles
Sample 486, took 43 cycles
Sample 487, took 41 cycles
Sample 488, took 43 cycles
Sample 489, took 43 cycles
Sample 490, took 44 cycles
Sample 491, took 45 cycles
Sample 492, took 43 cycles
Sample 493, took 42 cycles
Sample 494, took 43 cycles
Sample 495, took 41 cycles
Sample 496, took 34 cycles
Sample 497, took 46 cycles
Sample 498, took 45 cycles
Sample 499, took 46 cycles
Sample 500, took 43 cycles
Sample 501, took 44 cycles
Sample 502, took 45 cycles
Sample 503, took 43 cycles
Sample 504, took 42 cycles
Sample 505, took 44 cycles
Sample 506, took 43 cycles
Sample 507, took 46 cycles
Sample 508, took 41 cycles
Sample 509, took 40 cycles
Sample 510, took 44 cycles
Sample 511, took 43 cycles
Sample 512, took 41 cycles
Sample 513, took 44 cycles
Sample 514, took 44 cycles
Sample 515, took 42 cycles
Sample 516, took 41 cycles
Sample 517, took 42 cycles
Sample 518, took 44 cycles
Sample 519, took 45 cycles
Sample 520, took 42 cycles
Sample 521, took 45 cycles
Sample 522, took 41 cycles
Sample 523, took 40 cycles
Sample 524, took 42 cycles
Sample 525, took 45 cycles
Sample 526, took 43 cycles
Sample 527, took 43 cycles
Sample 528, took 45 cycles
Sample 529, took 44 cycles
Sample 530, took 43 cycles
Sample 531, took 43 cycles
Sample 532, took 43 cycles
Sample 533, took 41 cycles
Sample 534, took 42 cycles
Sample 535, took 43 cycles
Sample 536, took 43 cycles
Sample 537, took 44 cycles
Sample 538, took 43 cycles
Sample 539, took 45 cycles
Sample 540, took 44 cycles
Sample 541, took 45 cycles
Sample 542, took 45 cycles
Sample 543, took 45 cycles
Sample 544, took 42 cycles
Sample 545, took 44 cycles
Sample 546, took 43 cycles
Sample 547, took 45 cycles
Sample 548, took 44 cycles
Sample 549, took 43 cycles
Sample 550, took 44 cycles
Sample 551, took 44 cycles
Sample 552, took 41 cycles
