C:\Users\sina\Desktop>AccessMeasurements.exe
Press enter to continue...
Sample 339, took 6932 cycles
Sample 340, took 7046 cycles
Sample 341, took 6903 cycles
Sample 342, took 6935 cycles
Sample 343, took 7004 cycles
Sample 344, took 6899 cycles
Sample 345, took 6899 cycles
Sample 346, took 6931 cycles
Sample 347, took 6893 cycles
Sample 348, took 6919 cycles
Sample 349, took 7016 cycles
Sample 350, took 6889 cycles
Sample 351, took 6935 cycles
Sample 352, took 7073 cycles
Sample 353, took 7044 cycles
Sample 354, took 7010 cycles
Sample 355, took 6932 cycles
Sample 356, took 6885 cycles
Sample 357, took 6898 cycles
Sample 358, took 6885 cycles
Sample 359, took 6875 cycles
Sample 360, took 6935 cycles
Sample 361, took 6962 cycles
Sample 362, took 6976 cycles
Sample 363, took 6978 cycles
Sample 364, took 7010 cycles
Sample 365, took 6998 cycles
Sample 366, took 6885 cycles
Sample 367, took 6883 cycles
Sample 368, took 6841 cycles
Sample 369, took 6901 cycles
Sample 370, took 6936 cycles
Sample 371, took 6933 cycles
Sample 372, took 6903 cycles
Sample 373, took 6833 cycles
Sample 374, took 6862 cycles
Sample 375, took 6858 cycles
Sample 376, took 6817 cycles
Sample 377, took 6799 cycles
Sample 378, took 6954 cycles
Sample 379, took 6952 cycles
Sample 380, took 6915 cycles
Sample 381, took 6863 cycles
Sample 382, took 6946 cycles
Sample 383, took 6908 cycles
Sample 384, took 6887 cycles
Sample 385, took 6869 cycles
Sample 386, took 7000 cycles
Sample 387, took 6791 cycles
Sample 388, took 6852 cycles
Sample 389, took 6916 cycles
Sample 390, took 6865 cycles
Sample 391, took 9064 cycles
Sample 392, took 7476 cycles
Sample 393, took 12305 cycles
Sample 394, took 7489 cycles
Sample 395, took 7184 cycles
Sample 396, took 7744 cycles
Sample 397, took 7244 cycles
Sample 398, took 7142 cycles
Sample 399, took 7274 cycles
Sample 400, took 7206 cycles
Sample 401, took 7034 cycles
Sample 402, took 6938 cycles
Sample 403, took 6970 cycles
Sample 404, took 6899 cycles
Sample 405, took 6992 cycles
Sample 406, took 6964 cycles
Sample 407, took 6976 cycles
Sample 408, took 6937 cycles
Sample 409, took 6976 cycles
Sample 410, took 6964 cycles
Sample 411, took 7018 cycles
Sample 412, took 6998 cycles
Sample 413, took 6868 cycles
Sample 414, took 6890 cycles
Sample 415, took 6853 cycles
Sample 416, took 6946 cycles
Sample 417, took 7203 cycles
Sample 418, took 6988 cycles
Sample 419, took 11877 cycles
Sample 420, took 8905 cycles
Sample 421, took 8879 cycles
Sample 422, took 8967 cycles
Sample 423, took 8954 cycles
Sample 424, took 8952 cycles
Sample 425, took 8939 cycles
Sample 426, took 8968 cycles
Sample 427, took 8948 cycles
Sample 428, took 8883 cycles
Sample 429, took 8869 cycles
Sample 430, took 8958 cycles
Sample 431, took 8875 cycles
Sample 432, took 8929 cycles
Sample 433, took 8982 cycles
Sample 434, took 8974 cycles
Sample 435, took 9038 cycles
Sample 436, took 8984 cycles
Sample 437, took 8956 cycles
Sample 438, took 8942 cycles
Sample 439, took 8940 cycles
Sample 440, took 8945 cycles
Sample 441, took 9008 cycles
Sample 442, took 8905 cycles
Sample 443, took 10591 cycles
Sample 444, took 12395 cycles
Sample 445, took 7925 cycles
Sample 446, took 8015 cycles
Sample 447, took 8853 cycles
Sample 448, took 7970 cycles
Sample 449, took 7770 cycles
Sample 450, took 7831 cycles
Sample 451, took 7690 cycles
Sample 452, took 7857 cycles
Sample 453, took 7838 cycles
Sample 454, took 7740 cycles
Sample 455, took 7901 cycles
Sample 456, took 7871 cycles
Sample 457, took 7815 cycles
Sample 458, took 7773 cycles
Sample 459, took 7754 cycles
Sample 460, took 7792 cycles
Sample 461, took 7829 cycles
Sample 462, took 7841 cycles
Sample 463, took 7821 cycles
Sample 464, took 7857 cycles
Sample 465, took 7730 cycles
Sample 466, took 7998 cycles
Sample 467, took 8421 cycles
Sample 468, took 7765 cycles
Sample 469, took 7784 cycles
Sample 470, took 7740 cycles
Sample 471, took 7758 cycles
Sample 472, took 7750 cycles
Sample 473, took 7780 cycles
Sample 474, took 7742 cycles
Sample 475, took 7803 cycles
Sample 476, took 7750 cycles
Sample 477, took 7762 cycles
Sample 478, took 7651 cycles
Sample 479, took 7776 cycles
Sample 480, took 7770 cycles
Sample 481, took 7689 cycles
Sample 482, took 7780 cycles
Sample 483, took 7750 cycles
Sample 484, took 7794 cycles
Sample 485, took 7784 cycles
Sample 486, took 7815 cycles
Sample 487, took 7776 cycles
Sample 488, took 7742 cycles
Sample 489, took 7839 cycles
Sample 490, took 7843 cycles
Sample 491, took 7734 cycles
Sample 492, took 7790 cycles
Sample 493, took 7813 cycles
Sample 494, took 7921 cycles
Sample 495, took 8369 cycles
Sample 496, took 8819 cycles
Sample 497, took 11195 cycles
Sample 498, took 7721 cycles
Sample 499, took 8659 cycles
Sample 500, took 8301 cycles
Sample 501, took 7889 cycles
Sample 502, took 7829 cycles
Sample 503, took 7701 cycles
Sample 504, took 7893 cycles
Sample 505, took 7728 cycles
Sample 506, took 7834 cycles
Sample 507, took 7956 cycles
Sample 508, took 7883 cycles
Sample 509, took 7809 cycles
Sample 510, took 8802 cycles
Sample 511, took 7829 cycles
Sample 512, took 7810 cycles
Sample 513, took 7883 cycles
Sample 514, took 10220 cycles
Sample 515, took 8196 cycles
Sample 516, took 8032 cycles
Sample 517, took 7915 cycles
Sample 518, took 8526 cycles
Sample 519, took 8107 cycles
Sample 520, took 8506 cycles
Sample 521, took 7825 cycles
Sample 522, took 7807 cycles
Sample 523, took 7752 cycles
Sample 524, took 7700 cycles
Sample 525, took 7699 cycles
Sample 526, took 7703 cycles
Sample 527, took 7663 cycles
Sample 528, took 7847 cycles
Sample 529, took 7668 cycles
Sample 530, took 7768 cycles
Sample 531, took 7760 cycles
Sample 532, took 7778 cycles
Sample 533, took 8160 cycles
Sample 534, took 7881 cycles
Sample 535, took 7891 cycles
Sample 536, took 7867 cycles
Sample 537, took 9744 cycles
Sample 538, took 7812 cycles
Sample 539, took 9900 cycles
Sample 540, took 7887 cycles
Sample 541, took 7760 cycles
Sample 542, took 7892 cycles
Sample 543, took 7965 cycles
Sample 544, took 8254 cycles
Sample 545, took 12066 cycles
Sample 546, took 9645 cycles
Sample 547, took 11849 cycles
Sample 548, took 7968 cycles
Sample 549, took 8007 cycles
Sample 550, took 7728 cycles
Sample 551, took 7720 cycles
Sample 552, took 7635 cycles
Sample 553, took 7857 cycles
Sample 554, took 8704 cycles
Sample 555, took 7802 cycles
Sample 556, took 7851 cycles
Sample 557, took 8276 cycles
Sample 558, took 7917 cycles
Sample 559, took 7829 cycles
Sample 560, took 7738 cycles
Sample 561, took 7750 cycles
Sample 562, took 7797 cycles
Sample 563, took 7806 cycles
Sample 564, took 7776 cycles
Sample 565, took 7750 cycles
Sample 566, took 7702 cycles
Sample 567, took 7696 cycles
Sample 568, took 7795 cycles
Sample 569, took 7661 cycles
Sample 570, took 7708 cycles
Sample 571, took 7859 cycles
Sample 572, took 7926 cycles
Sample 573, took 53357 cycles
Sample 574, took 65088 cycles
Sample 575, took 65921 cycles
Sample 576, took 15845 cycles
Sample 577, took 13322 cycles
Sample 578, took 8958 cycles
Sample 579, took 11304 cycles
Sample 580, took 52893 cycles
Sample 581, took 9818 cycles
Sample 582, took 50571 cycles
Sample 583, took 11515 cycles
Sample 584, took 49903 cycles
Sample 585, took 11548 cycles
Sample 586, took 16125 cycles
Sample 587, took 11653 cycles
Sample 588, took 13329 cycles
Sample 589, took 12254 cycles
Sample 590, took 18716 cycles
Sample 591, took 12450 cycles
Sample 592, took 11161 cycles
Sample 593, took 8937 cycles
Sample 594, took 8813 cycles
Sample 595, took 9383 cycles
Sample 596, took 9340 cycles
Sample 597, took 10609 cycles
Sample 598, took 9083 cycles
Sample 599, took 8957 cycles
Sample 600, took 8895 cycles
Sample 601, took 9002 cycles
Sample 602, took 8970 cycles
Sample 603, took 9026 cycles
Sample 604, took 8851 cycles
Sample 605, took 8923 cycles
Sample 606, took 8942 cycles
Sample 607, took 8891 cycles
Sample 608, took 9020 cycles
Sample 609, took 8948 cycles
Sample 610, took 8990 cycles
Sample 611, took 9000 cycles
Sample 612, took 8966 cycles
Sample 613, took 8996 cycles
Sample 614, took 8899 cycles
Sample 615, took 8885 cycles
Sample 616, took 8942 cycles
Sample 617, took 9004 cycles
Sample 618, took 8944 cycles
Sample 619, took 8912 cycles
Sample 620, took 8964 cycles
Sample 621, took 9026 cycles
Sample 622, took 8889 cycles
Sample 623, took 7791 cycles
Sample 624, took 7873 cycles
Sample 625, took 7805 cycles
Sample 626, took 7810 cycles
Sample 627, took 7724 cycles
Sample 628, took 7836 cycles
Sample 629, took 9637 cycles
Sample 630, took 11012 cycles
Sample 631, took 19819 cycles
Sample 632, took 11397 cycles
Sample 633, took 7845 cycles
Sample 634, took 7839 cycles
Sample 635, took 7712 cycles
Sample 636, took 7899 cycles
Sample 637, took 7726 cycles
Sample 638, took 7954 cycles
Sample 639, took 8012 cycles
Sample 640, took 8934 cycles
Sample 641, took 7778 cycles
Sample 642, took 7824 cycles
Sample 643, took 7786 cycles
Sample 644, took 7829 cycles
Sample 645, took 7752 cycles
Sample 646, took 7857 cycles
Sample 647, took 7837 cycles
Sample 648, took 7851 cycles
Sample 649, took 7698 cycles
Sample 650, took 7778 cycles
Sample 651, took 7770 cycles
Sample 652, took 7794 cycles
Sample 653, took 7798 cycles
Sample 654, took 7773 cycles
Sample 655, took 7903 cycles
Sample 656, took 7768 cycles
Sample 657, took 7770 cycles
Sample 658, took 7807 cycles
Sample 659, took 7845 cycles
Sample 660, took 7780 cycles
Sample 661, took 7797 cycles
Sample 662, took 7823 cycles
Sample 663, took 7794 cycles
Sample 664, took 7860 cycles
Sample 665, took 7780 cycles
Sample 666, took 7798 cycles
Sample 667, took 7820 cycles
Sample 668, took 7770 cycles
Sample 669, took 7813 cycles
Sample 670, took 7784 cycles
Sample 671, took 7832 cycles
Sample 672, took 7830 cycles
Sample 673, took 7810 cycles
Sample 674, took 10186 cycles
Sample 675, took 7954 cycles
Sample 676, took 12974 cycles
Sample 677, took 10260 cycles
Sample 678, took 12647 cycles
Sample 679, took 8438 cycles
Sample 680, took 7782 cycles
Sample 681, took 61949 cycles
Sample 682, took 7883 cycles
Sample 683, took 8851 cycles
Sample 684, took 7875 cycles
Sample 685, took 8938 cycles
Sample 686, took 7744 cycles
Sample 687, took 7643 cycles
Sample 688, took 7795 cycles
Sample 689, took 7740 cycles
Sample 690, took 7690 cycles
Sample 691, took 7669 cycles
Sample 692, took 7744 cycles
Sample 693, took 7803 cycles
Sample 694, took 7740 cycles
Sample 695, took 7759 cycles
Sample 696, took 7838 cycles
Sample 697, took 7819 cycles
Sample 698, took 7727 cycles
Sample 699, took 7824 cycles
Sample 700, took 7720 cycles
Sample 701, took 7643 cycles
Sample 702, took 7762 cycles
Sample 703, took 7702 cycles
Sample 704, took 7703 cycles
Sample 705, took 7793 cycles
Sample 706, took 7674 cycles
Sample 707, took 7746 cycles
Sample 708, took 7742 cycles
Sample 709, took 7832 cycles
Sample 710, took 7660 cycles
Sample 711, took 7778 cycles
Sample 712, took 7813 cycles
Sample 713, took 7784 cycles
Sample 714, took 7841 cycles
Sample 715, took 7795 cycles
Sample 716, took 7758 cycles
Sample 717, took 7723 cycles
Sample 718, took 7734 cycles
Sample 719, took 7669 cycles
Sample 720, took 7693 cycles
Sample 721, took 7822 cycles
Sample 722, took 8214 cycles
Sample 723, took 7855 cycles
Sample 724, took 7966 cycles
Sample 725, took 63585 cycles
Sample 726, took 8716 cycles
Sample 727, took 7802 cycles
Sample 728, took 8571 cycles
Sample 729, took 7768 cycles
Sample 730, took 7754 cycles
Sample 731, took 7901 cycles
Sample 732, took 7738 cycles
Sample 733, took 7842 cycles
Sample 734, took 7828 cycles
Sample 735, took 7774 cycles
Sample 736, took 7722 cycles
Sample 737, took 7664 cycles
Sample 738, took 7714 cycles
Sample 739, took 7764 cycles
Sample 740, took 7640 cycles
Sample 741, took 7814 cycles
Sample 742, took 9244 cycles
Sample 743, took 8853 cycles
Sample 744, took 7875 cycles
Sample 745, took 7800 cycles
Sample 746, took 7736 cycles
Sample 747, took 7625 cycles
Sample 748, took 7744 cycles
Sample 749, took 7801 cycles
Sample 750, took 7750 cycles
Sample 751, took 7734 cycles
Sample 752, took 7734 cycles
Sample 753, took 7822 cycles
Sample 754, took 7764 cycles
Sample 755, took 7763 cycles
Sample 756, took 7738 cycles
Sample 757, took 7841 cycles
Sample 758, took 7766 cycles
Sample 759, took 7831 cycles
Sample 760, took 7796 cycles
Sample 761, took 7764 cycles
Sample 762, took 7845 cycles
Sample 763, took 7804 cycles
Sample 764, took 7645 cycles
Sample 765, took 7682 cycles
Sample 766, took 7744 cycles
Sample 767, took 7707 cycles
Sample 768, took 7734 cycles
Sample 769, took 7799 cycles
Sample 770, took 7791 cycles
Sample 771, took 7839 cycles
Sample 772, took 7857 cycles
Sample 773, took 13980 cycles
Sample 774, took 16405 cycles
Sample 775, took 8117 cycles
Sample 776, took 7712 cycles
Sample 777, took 7770 cycles
Sample 778, took 7720 cycles
Sample 779, took 7711 cycles
Sample 780, took 8161 cycles
Sample 781, took 7754 cycles
Sample 782, took 7804 cycles
Sample 783, took 7758 cycles
Sample 784, took 7843 cycles
Sample 785, took 7846 cycles
Sample 786, took 7794 cycles
Sample 787, took 7817 cycles
Sample 788, took 7704 cycles
Sample 789, took 7801 cycles
Sample 790, took 7793 cycles
Sample 791, took 7724 cycles
Sample 792, took 7794 cycles
Sample 793, took 7829 cycles
Sample 794, took 7736 cycles
Sample 795, took 7851 cycles
Sample 796, took 7911 cycles
Sample 797, took 7796 cycles
Sample 798, took 7801 cycles
Sample 799, took 7676 cycles
Sample 800, took 7817 cycles
Sample 801, took 7829 cycles
Sample 802, took 9341 cycles
Sample 803, took 7950 cycles
Sample 804, took 7772 cycles
Sample 805, took 7772 cycles
Sample 806, took 7829 cycles
Sample 807, took 7943 cycles
Sample 808, took 7924 cycles
Sample 809, took 7837 cycles
Sample 810, took 7815 cycles
Sample 811, took 7764 cycles
Sample 812, took 7744 cycles
Sample 813, took 7844 cycles
Sample 814, took 7782 cycles
Sample 815, took 7867 cycles
Sample 816, took 7895 cycles
Sample 817, took 7772 cycles
Sample 818, took 7828 cycles
Sample 819, took 7772 cycles
Sample 820, took 7877 cycles
Sample 821, took 13932 cycles
Sample 822, took 9810 cycles
Sample 823, took 8782 cycles
Sample 824, took 7851 cycles
Sample 825, took 7843 cycles
Sample 826, took 7821 cycles
Sample 827, took 7748 cycles
Sample 828, took 7809 cycles
Sample 829, took 7823 cycles
Sample 830, took 7735 cycles
Sample 831, took 7756 cycles
Sample 832, took 7772 cycles
Sample 833, took 7806 cycles
Sample 834, took 7742 cycles
Sample 835, took 7873 cycles
Sample 836, took 7857 cycles
Sample 837, took 7788 cycles
Sample 838, took 7827 cycles
Sample 839, took 7816 cycles
Sample 840, took 7762 cycles
Sample 841, took 7827 cycles
Sample 842, took 7833 cycles
Sample 843, took 7853 cycles
Sample 844, took 7791 cycles
Sample 845, took 7830 cycles
Sample 846, took 7718 cycles
Sample 847, took 7896 cycles
Sample 848, took 7780 cycles
Sample 849, took 7788 cycles
Sample 850, took 7806 cycles
Sample 851, took 7746 cycles
Sample 852, took 7667 cycles
Sample 853, took 7741 cycles
Sample 854, took 7796 cycles
Sample 855, took 7855 cycles
Sample 856, took 7769 cycles
Sample 857, took 7881 cycles
Sample 858, took 7865 cycles
Sample 859, took 7736 cycles
Sample 860, took 7760 cycles
Sample 861, took 7803 cycles
Sample 862, took 7941 cycles
Sample 863, took 7748 cycles
Sample 864, took 7833 cycles
Sample 865, took 7744 cycles
Sample 866, took 7829 cycles
Sample 867, took 7777 cycles
Sample 868, took 8038 cycles
Sample 869, took 7890 cycles
Sample 870, took 7841 cycles
Sample 871, took 7844 cycles
Sample 872, took 7951 cycles
Sample 873, took 13321 cycles
Sample 874, took 8885 cycles
Sample 875, took 8034 cycles
Sample 876, took 10817 cycles
Sample 877, took 8710 cycles
Sample 878, took 7845 cycles
Sample 879, took 7800 cycles
Sample 880, took 7766 cycles
Sample 881, took 7720 cycles
Sample 882, took 7833 cycles
Sample 883, took 7736 cycles
Sample 884, took 7736 cycles
Sample 885, took 7800 cycles
Sample 886, took 7754 cycles
Sample 887, took 7839 cycles
Sample 888, took 7742 cycles
Sample 889, took 7651 cycles
Sample 890, took 7760 cycles
Sample 891, took 7798 cycles
Sample 892, took 7762 cycles
Sample 893, took 7700 cycles
Sample 894, took 7790 cycles
Sample 895, took 7647 cycles
Sample 896, took 7754 cycles
Sample 897, took 7823 cycles
Sample 898, took 7786 cycles
Sample 899, took 7730 cycles
Sample 900, took 7760 cycles
Sample 901, took 7728 cycles
Sample 902, took 7840 cycles
Sample 903, took 7819 cycles
Sample 904, took 7680 cycles
Sample 905, took 7788 cycles
Sample 906, took 7789 cycles
Sample 907, took 7740 cycles
Sample 908, took 7746 cycles
Sample 909, took 7756 cycles
Sample 910, took 7842 cycles
Sample 911, took 7793 cycles
Sample 912, took 7798 cycles
Sample 913, took 7758 cycles
Sample 914, took 7764 cycles
Sample 915, took 7863 cycles
Sample 916, took 7686 cycles
Sample 917, took 7740 cycles
Sample 918, took 7738 cycles
Sample 919, took 7851 cycles
Sample 920, took 7793 cycles
Sample 921, took 8037 cycles
Sample 922, took 7968 cycles
Sample 923, took 7635 cycles
Sample 924, took 7810 cycles
Sample 925, took 12119 cycles
