PS C:\Users\moham\Downloads\AccessMeasurements\AccessMeasurements\x64\Debug> .\AccessMeasurements.exe
Press enter to continue...
Sample 0, took 22515 cycles
Sample 447, took 4586 cycles
Sample 448, took 4479 cycles
Sample 449, took 4559 cycles
Sample 450, took 4533 cycles
Sample 451, took 4550 cycles
Sample 452, took 4660 cycles
Sample 453, took 4580 cycles
Sample 454, took 4603 cycles
Sample 455, took 4114 cycles
Sample 456, took 4178 cycles
Sample 457, took 4131 cycles
Sample 458, took 4091 cycles
Sample 459, took 4133 cycles
Sample 460, took 4517 cycles
Sample 461, took 8077 cycles
Sample 462, took 4265 cycles
Sample 463, took 5060 cycles
Sample 464, took 4467 cycles
Sample 465, took 4765 cycles
Sample 466, took 4448 cycles
Sample 467, took 4540 cycles
Sample 468, took 4385 cycles
Sample 469, took 4601 cycles
Sample 470, took 4424 cycles
Sample 471, took 4680 cycles
Sample 472, took 4454 cycles
Sample 473, took 4440 cycles
Sample 474, took 4477 cycles
Sample 475, took 4506 cycles
Sample 476, took 4386 cycles
Sample 477, took 4796 cycles
Sample 478, took 4441 cycles
Sample 479, took 4554 cycles
Sample 480, took 4386 cycles
Sample 481, took 4530 cycles
Sample 482, took 4338 cycles
Sample 483, took 4499 cycles
Sample 484, took 4422 cycles
Sample 485, took 4832 cycles
Sample 486, took 4373 cycles
Sample 487, took 4501 cycles
Sample 488, took 4304 cycles
Sample 489, took 4509 cycles
Sample 490, took 4422 cycles
Sample 491, took 4410 cycles
Sample 492, took 4506 cycles
Sample 493, took 4430 cycles
Sample 494, took 4339 cycles
Sample 495, took 4542 cycles
Sample 496, took 4355 cycles
Sample 497, took 4800 cycles
Sample 498, took 4654 cycles
Sample 499, took 4519 cycles
Sample 500, took 4658 cycles
Sample 501, took 4738 cycles
Sample 502, took 4923 cycles
Sample 503, took 8605 cycles
Sample 504, took 4660 cycles
Sample 505, took 4808 cycles
Sample 506, took 4361 cycles
Sample 507, took 4625 cycles
Sample 508, took 4454 cycles
Sample 509, took 4515 cycles
Sample 510, took 4479 cycles
