Microsoft Windows [Version 10.0.19045.4412]
(c) Microsoft Corporation. All rights reserved.

C:\Users\user\Desktop\AccessMeasurements\x64\Debug>AccessMeasurements.exe
Press enter to continue...
Sample 304, took 10826 cycles
Sample 305, took 9584 cycles
Sample 306, took 14956 cycles
Sample 307, took 11998 cycles
Sample 308, took 9975 cycles
Sample 309, took 9475 cycles
Sample 310, took 9053 cycles
Sample 311, took 10732 cycles
Sample 312, took 8904 cycles
Sample 313, took 9570 cycles
Sample 314, took 8921 cycles
Sample 315, took 8889 cycles
Sample 316, took 9052 cycles
Sample 317, took 8710 cycles
Sample 318, took 12009 cycles
Sample 319, took 8823 cycles
Sample 320, took 8888 cycles
Sample 321, took 10068 cycles
Sample 322, took 8622 cycles
Sample 323, took 8558 cycles
Sample 324, took 8684 cycles
Sample 325, took 8559 cycles
Sample 326, took 8751 cycles
Sample 327, took 8719 cycles
Sample 328, took 8591 cycles
Sample 329, took 8497 cycles
Sample 330, took 9300 cycles
Sample 331, took 17548 cycles
Sample 332, took 14369 cycles
Sample 333, took 12594 cycles
Sample 334, took 10375 cycles
Sample 335, took 10206 cycles
Sample 336, took 11055 cycles
Sample 337, took 10296 cycles
Sample 338, took 10209 cycles
Sample 339, took 9957 cycles
Sample 340, took 62645 cycles
Sample 341, took 9999 cycles
Sample 342, took 10201 cycles
Sample 343, took 10270 cycles
Sample 344, took 10707 cycles
Sample 345, took 10562 cycles
Sample 346, took 11183 cycles
Sample 347, took 9233 cycles
Sample 348, took 9079 cycles
Sample 349, took 9953 cycles
Sample 350, took 9086 cycles
Sample 351, took 9850 cycles
Sample 352, took 9564 cycles
Sample 353, took 9116 cycles
Sample 354, took 48186 cycles
Sample 355, took 13937 cycles
Sample 356, took 10052 cycles
Sample 357, took 8801 cycles
Sample 358, took 9542 cycles
Sample 359, took 14282 cycles
Sample 360, took 9858 cycles
Sample 361, took 8856 cycles
Sample 362, took 9620 cycles
Sample 363, took 46792 cycles
Sample 364, took 8751 cycles
Sample 365, took 9069 cycles
Sample 366, took 8630 cycles
Sample 367, took 8809 cycles
Sample 368, took 8866 cycles
Sample 369, took 9025 cycles
Sample 370, took 12332 cycles
Sample 371, took 11438 cycles
Sample 372, took 12067 cycles
Sample 373, took 10496 cycles
Sample 374, took 10377 cycles
Sample 375, took 9126 cycles
Sample 376, took 9909 cycles
Sample 377, took 9426 cycles
Sample 378, took 9243 cycles
Sample 379, took 12394 cycles
Sample 380, took 11399 cycles
Sample 381, took 10411 cycles
Sample 382, took 11168 cycles
Sample 383, took 9987 cycles
Sample 384, took 9810 cycles
Sample 385, took 12221 cycles
Sample 386, took 10954 cycles
Sample 387, took 9009 cycles
Sample 388, took 11548 cycles
Sample 389, took 10066 cycles
Sample 390, took 8571 cycles
Sample 391, took 8964 cycles
Sample 392, took 9114 cycles
Sample 393, took 8987 cycles
Sample 394, took 9241 cycles
Sample 395, took 8775 cycles
Sample 396, took 9048 cycles
Sample 397, took 8850 cycles
Sample 398, took 9461 cycles
Sample 399, took 9069 cycles
Sample 400, took 8763 cycles
Sample 401, took 8716 cycles
Sample 402, took 46079 cycles
Sample 403, took 8670 cycles
Sample 404, took 8598 cycles
Sample 405, took 14006 cycles
Sample 406, took 64493 cycles
Sample 407, took 10165 cycles
Sample 408, took 10052 cycles
Sample 409, took 11563 cycles
Sample 410, took 10552 cycles
Sample 411, took 11398 cycles
Sample 412, took 13384 cycles
Sample 413, took 10734 cycles
Sample 414, took 66128 cycles
Sample 415, took 10625 cycles
Sample 416, took 14063 cycles
Sample 417, took 8735 cycles
Sample 418, took 8882 cycles
Sample 419, took 8918 cycles
Sample 420, took 9124 cycles
Sample 421, took 9011 cycles
Sample 422, took 8764 cycles
Sample 423, took 10602 cycles
Sample 424, took 17972 cycles
Sample 425, took 10010 cycles
Sample 426, took 13443 cycles
Sample 427, took 10484 cycles
Sample 428, took 14151 cycles
Sample 429, took 10354 cycles
Sample 430, took 10002 cycles
Sample 431, took 9929 cycles
Sample 432, took 47442 cycles
Sample 433, took 10044 cycles
Sample 434, took 10008 cycles
Sample 435, took 10050 cycles
Sample 436, took 10018 cycles
Sample 437, took 9489 cycles
Sample 438, took 11857 cycles
Sample 439, took 48447 cycles
Sample 440, took 48156 cycles
Sample 441, took 8328 cycles
Sample 442, took 9038 cycles
Sample 443, took 9697 cycles
Sample 444, took 10853 cycles
Sample 445, took 7952 cycles
Sample 446, took 7923 cycles
Sample 447, took 8343 cycles
Sample 448, took 9386 cycles
Sample 449, took 8771 cycles
Sample 450, took 8670 cycles
Sample 451, took 48335 cycles
Sample 452, took 8115 cycles
Sample 453, took 47472 cycles
Sample 454, took 12216 cycles
Sample 455, took 10808 cycles
Sample 456, took 10727 cycles
Sample 457, took 9154 cycles
Sample 458, took 48275 cycles
Sample 459, took 10279 cycles
Sample 460, took 47143 cycles
Sample 461, took 10100 cycles
Sample 462, took 10385 cycles
Sample 463, took 9979 cycles
Sample 464, took 9463 cycles
Sample 465, took 10841 cycles
Sample 466, took 14121 cycles
Sample 467, took 10084 cycles
Sample 468, took 9092 cycles
Sample 469, took 70234 cycles
Sample 470, took 8860 cycles
Sample 471, took 48115 cycles
Sample 472, took 10881 cycles
Sample 473, took 9249 cycles
Sample 474, took 8737 cycles
Sample 475, took 8674 cycles
Sample 476, took 8738 cycles
Sample 477, took 46671 cycles
Sample 478, took 10423 cycles
Sample 479, took 14688 cycles
Sample 480, took 10364 cycles
Sample 481, took 8932 cycles
Sample 482, took 10361 cycles
Sample 483, took 9027 cycles
Sample 484, took 9249 cycles
Sample 485, took 9068 cycles
Sample 486, took 46293 cycles
Sample 487, took 9017 cycles
Sample 488, took 9070 cycles
Sample 489, took 10222 cycles
Sample 490, took 9116 cycles
Sample 491, took 12148 cycles
Sample 492, took 12025 cycles
Sample 493, took 11345 cycles
Sample 494, took 9313 cycles
Sample 495, took 8793 cycles
Sample 496, took 9056 cycles
Sample 497, took 9434 cycles
Sample 498, took 8811 cycles
Sample 499, took 8988 cycles
Sample 500, took 9134 cycles
Sample 501, took 8970 cycles
Sample 502, took 8975 cycles
Sample 503, took 12852 cycles
Sample 504, took 8832 cycles
Sample 505, took 9090 cycles
Sample 506, took 8749 cycles
Sample 507, took 9027 cycles
Sample 508, took 8732 cycles
Sample 509, took 8860 cycles
Sample 510, took 8769 cycles
Sample 511, took 8971 cycles
Sample 512, took 8650 cycles
Sample 513, took 8579 cycles
Sample 514, took 8854 cycles
Sample 515, took 8668 cycles
Sample 516, took 8607 cycles
Sample 517, took 8777 cycles
Sample 518, took 15464 cycles
Sample 519, took 15440 cycles
Sample 520, took 9568 cycles
Sample 521, took 8769 cycles
Sample 522, took 8791 cycles
Sample 523, took 9013 cycles
Sample 524, took 8729 cycles
Sample 525, took 9909 cycles
Sample 526, took 8785 cycles
Sample 527, took 9654 cycles
Sample 528, took 16673 cycles
Sample 529, took 9644 cycles
Sample 530, took 9449 cycles
Sample 531, took 8787 cycles
Sample 532, took 8706 cycles
Sample 533, took 8652 cycles
Sample 534, took 9227 cycles
Sample 535, took 46292 cycles
Sample 536, took 46560 cycles
Sample 537, took 46449 cycles
Sample 538, took 69937 cycles
Sample 539, took 8908 cycles
Sample 540, took 8616 cycles
Sample 541, took 8704 cycles
Sample 542, took 8673 cycles
Sample 543, took 10316 cycles
Sample 544, took 8755 cycles
Sample 545, took 11540 cycles
Sample 546, took 49703 cycles
Sample 547, took 10922 cycles
Sample 548, took 9502 cycles
Sample 549, took 50133 cycles
Sample 550, took 9126 cycles
Sample 551, took 8789 cycles
Sample 552, took 9045 cycles
Sample 553, took 13233 cycles
Sample 554, took 48174 cycles
Sample 555, took 10199 cycles
Sample 556, took 10822 cycles
Sample 557, took 10959 cycles
Sample 558, took 9802 cycles
Sample 559, took 9023 cycles
Sample 560, took 10575 cycles
Sample 561, took 9632 cycles
Sample 562, took 8975 cycles
Sample 563, took 8843 cycles
Sample 564, took 8987 cycles
Sample 565, took 9081 cycles
Sample 566, took 8787 cycles
Sample 567, took 8849 cycles
Sample 568, took 45810 cycles
Sample 569, took 8831 cycles
Sample 570, took 69328 cycles
Sample 571, took 11640 cycles
Sample 572, took 10510 cycles
Sample 573, took 10657 cycles
Sample 574, took 50552 cycles
Sample 575, took 10474 cycles
Sample 576, took 13068 cycles
Sample 577, took 14030 cycles
Sample 578, took 10088 cycles
Sample 579, took 10751 cycles
Sample 580, took 10518 cycles
Sample 581, took 8680 cycles
Sample 582, took 9898 cycles
Sample 583, took 9077 cycles
Sample 584, took 10326 cycles
Sample 585, took 10123 cycles
Sample 586, took 10076 cycles
Sample 587, took 10036 cycles
Sample 588, took 8681 cycles
Sample 589, took 8015 cycles
Sample 590, took 8011 cycles
Sample 591, took 9916 cycles
Sample 592, took 8531 cycles
Sample 593, took 8912 cycles
Sample 594, took 8551 cycles
Sample 595, took 8811 cycles
Sample 596, took 10237 cycles
Sample 597, took 8848 cycles
Sample 598, took 9828 cycles
Sample 599, took 13203 cycles
Sample 600, took 10428 cycles
Sample 601, took 10379 cycles
Sample 602, took 15192 cycles
Sample 603, took 11517 cycles
Sample 604, took 10298 cycles
Sample 605, took 10145 cycles
Sample 606, took 10129 cycles
Sample 607, took 10012 cycles
Sample 608, took 52196 cycles
Sample 609, took 10107 cycles
Sample 610, took 10290 cycles
Sample 611, took 10264 cycles
Sample 612, took 8795 cycles
Sample 613, took 8672 cycles
Sample 614, took 8695 cycles
Sample 615, took 8660 cycles
Sample 616, took 8658 cycles
Sample 617, took 8777 cycles
Sample 618, took 8571 cycles
Sample 619, took 8623 cycles
Sample 620, took 8827 cycles
Sample 621, took 8647 cycles
Sample 622, took 8725 cycles
Sample 623, took 10425 cycles
Sample 624, took 9514 cycles
Sample 625, took 12519 cycles
Sample 626, took 13574 cycles
Sample 627, took 58615 cycles
Sample 628, took 69393 cycles
Sample 629, took 10539 cycles
Sample 630, took 10810 cycles
Sample 631, took 11525 cycles
